worker_id,window_duration,tasks_completed,correct_tasks,partial_reward,session_duration,tasks_completed_session,quality_session,total_reward,throughput
A843DU1CYIR9Z,23,3,2,0.07,,,,,
A843DU1CYIR9Z,18,3,2,0.095,,,,,
A843DU1CYIR9Z,,,,,,,,,
A843DU1CYIR9Z,,,,,,,,,
A9UBOMDU3AJYF,28,3,3,0.095,105,9,0.444444444,0.285,5.142857143
A9UBOMDU3AJYF,28,3,1,0.09,,,,,
A9UBOMDU3AJYF,49,3,0,0.1,,,,,
A9UBOMDU3AJYF,,,,,,,,,
A9UBOMDU3AJYF,,,,,,,,,
AAABU3NPTCTAR,72,3,2,0.1,262,9,0.555555556,0.295,2.061068702
AAABU3NPTCTAR,77,3,1,0.095,,,,,
AAABU3NPTCTAR,113,3,2,0.1,,,,,
AAABU3NPTCTAR,,,,,,,,,
AAABU3NPTCTAR,,,,,,,,,
AAXILKN9M4YW1,28,3,1,0.07,76,9,0.555555556,0.25,7.105263158
AAXILKN9M4YW1,33,3,2,0.1,,,,,
AAXILKN9M4YW1,15,3,2,0.08,,,,,
AAXILKN9M4YW1,,,,,,,,,
AAXILKN9M4YW1,,,,,,,,,
AI01TBF4CXKXI,52,3,2,0.1,95,9,0.555555556,0.3,5.684210526
AI01TBF4CXKXI,29,3,2,0.12,,,,,
AI01TBF4CXKXI,14,3,1,0.08,,,,,
AI01TBF4CXKXI,,,,,,,,,
AI01TBF4CXKXI,,,,,,,,,
AKLKDS34ZAGML,54,3,2,0.12,68,6,0.666666667,0.21,5.294117647
AKLKDS34ZAGML,14,3,2,0.09,,,,,
AKLKDS34ZAGML,,,,,,,,,
AKLKDS34ZAGML,,,,,,,,,
AKLKDS34ZAGML,,,,,,,,,
AL4A0AKTQGE4A,108,3,2,0.085,144,8,0.5,0.21,3.333333333
AL4A0AKTQGE4A,19,3,1,0.06,,,,,
AL4A0AKTQGE4A,17,2,1,0.065,,,,,
AL4A0AKTQGE4A,,,,,,,,,
AL4A0AKTQGE4A,,,,,,,,,
AMHZ8D856PO3F,89,3,2,0.08,223,9,0.555555556,0.3,2.421524664
AMHZ8D856PO3F,79,3,2,0.125,,,,,
AMHZ8D856PO3F,55,3,1,0.095,,,,,
AMHZ8D856PO3F,,,,,,,,,
AMHZ8D856PO3F,,,,,,,,,
AOEO9ZV81R0I4,33,3,3,0.11,76,9,0.777777778,0.34,7.105263158
AOEO9ZV81R0I4,21,3,2,0.13,,,,,
AOEO9ZV81R0I4,22,3,2,0.1,,,,,
AOEO9ZV81R0I4,,,,,,,,,
AOEO9ZV81R0I4,,,,,,,,,
AOGEGRPMKRKY,32,3,2,0.11,66,8,0.625,0.3,7.272727273
AOGEGRPMKRKY,12,2,1,0.09,,,,,
AOGEGRPMKRKY,22,3,2,0.1,,,,,
AOGEGRPMKRKY,,,,,,,,,
AOGEGRPMKRKY,,,,,,,,,
AOY5CF0UQUMO2,34,3,2,0.065,120,9,0.666666667,0.26,4.5
AOY5CF0UQUMO2,49,3,1,0.12,,,,,
AOY5CF0UQUMO2,37,3,3,0.075,,,,,
AOY5CF0UQUMO2,,,,,,,,,
AOY5CF0UQUMO2,,,,,,,,,
APF1EAZT104LQ,32,3,2,0.1,32,3,0.666666667,0.1,5.625
APF1EAZT104LQ,,,,,,,,,
APF1EAZT104LQ,,,,,,,,,
APF1EAZT104LQ,,,,,,,,,
APF1EAZT104LQ,,,,,,,,,
AS11VPZ1QAEQB,32,3,2,0.08,96,9,0.777777778,0.275,5.625
AS11VPZ1QAEQB,30,3,3,0.105,,,,,
AS11VPZ1QAEQB,34,3,2,0.09,,,,,
AS11VPZ1QAEQB,,,,,,,,,
AS11VPZ1QAEQB,,,,,,,,,
ASG1PXG3EUYN8,10,1,1,0.05,84,7,0.714285714,0.24,5
ASG1PXG3EUYN8,30,3,3,0.1,,,,,
ASG1PXG3EUYN8,44,3,1,0.09,,,,,
ASG1PXG3EUYN8,,,,,,,,,
ASG1PXG3EUYN8,,,,,,,,,
ASW8M4F98R3R6,36,3,1,0.07,74,9,0.333333333,0.26,7.297297297
ASW8M4F98R3R6,26,3,1,0.11,,,,,
ASW8M4F98R3R6,12,3,1,0.08,,,,,
ASW8M4F98R3R6,,,,,,,,,
ASW8M4F98R3R6,,,,,,,,,
AXID3RPK6NZT6,34,3,2,0.1,107,8,0.5,0.27,4.485981308
AXID3RPK6NZT6,22,2,0,0.07,,,,,
AXID3RPK6NZT6,51,3,2,0.1,,,,,
AXID3RPK6NZT6,,,,,,,,,
AXID3RPK6NZT6,,,,,,,,,
AXKHNWMKGT751,39,2,1,0.06,94,6,0.666666667,0.21,3.829787234
AXKHNWMKGT751,55,3,2,0.11,,,,,
AXKHNWMKGT751,0,1,1,0.04,,,,,
AXKHNWMKGT751,,,,,,,,,
AXKHNWMKGT751,,,,,,,,,
AYDIZBR38B0TY,65,3,1,0.1,110,9,0.444444444,0.345,4.909090909
AYDIZBR38B0TY,20,3,1,0.14,,,,,
AYDIZBR38B0TY,25,3,2,0.105,,,,,
AYDIZBR38B0TY,,,,,,,,,
AYDIZBR38B0TY,,,,,,,,,
AYQ8YE6T9W8FB,20,2,1,0.1,95,8,0.5,0.275,5.052631579
AYQ8YE6T9W8FB,61,3,1,0.065,,,,,
AYQ8YE6T9W8FB,14,3,2,0.11,,,,,
AYQ8YE6T9W8FB,,,,,,,,,
AYQ8YE6T9W8FB,,,,,,,,,
AZI9VZ55E3TP2,52,3,2,0.09,146,9,0.666666667,0.27,3.698630137
AZI9VZ55E3TP2,52,3,2,0.1,,,,,
AZI9VZ55E3TP2,42,3,2,0.08,,,,,
